image_type,width,height,p,runtime_seconds
grey,1920,630,1,0.094381
grey,1920,630,2,0.167191
grey,1920,630,4,0.041308
grey,1920,630,9,0.022827
grey,1920,630,16,0.017636
grey,1920,630,25,0.211619
grey,1920,1260,1,0.19061
grey,1920,1260,2,0.119074
grey,1920,1260,4,0.176632
grey,1920,1260,9,0.032918
grey,1920,1260,16,0.030054
grey,1920,1260,25,0.237171
grey,1920,2520,1,0.408826
grey,1920,2520,2,0.240214
grey,1920,2520,4,0.105387
grey,1920,2520,9,0.150836
grey,1920,2520,16,0.061671
grey,1920,2520,25,0.099631
grey,1920,5040,1,0.918275
grey,1920,5040,2,0.467255
grey,1920,5040,4,0.223474
grey,1920,5040,9,0.11969
grey,1920,5040,16,0.198097
grey,1920,5040,25,0.332944
rgb,1920,630,1,0.325764
rgb,1920,630,2,0.199087
rgb,1920,630,4,0.103318
rgb,1920,630,9,0.047062
rgb,1920,630,16,0.045515
rgb,1920,630,25,0.079126
rgb,1920,1260,1,0.660882
rgb,1920,1260,2,0.340688
rgb,1920,1260,4,0.180521
rgb,1920,1260,9,0.105508
rgb,1920,1260,16,0.084017
rgb,1920,1260,25,0.104618
rgb,1920,2520,1,1.359807
rgb,1920,2520,2,0.80347
rgb,1920,2520,4,0.335159
rgb,1920,2520,9,0.172297
rgb,1920,2520,16,0.31319
rgb,1920,2520,25,0.180769
rgb,1920,5040,1,3.074693
rgb,1920,5040,2,1.555344
rgb,1920,5040,4,0.699466
rgb,1920,5040,9,0.346156
rgb,1920,5040,16,0.273465
rgb,1920,5040,25,0.291297
